Time (s),Ux,Uy,Uz,k,omega,p
718,0.000274226463006,1.22840252084e-05,0.00035898427402,0.000181532301116,3.64048481824e-06,0.0047867265567
719,0.000275769935992,1.23004088439e-05,0.000357925352519,0.00018040617148,3.63669719396e-06,0.00477716000739
720,0.000277373650255,1.23230142984e-05,0.000357154849877,0.000179323498804,3.63432558862e-06,0.00477681771398
721,0.00027924315663,1.23546602859e-05,0.000356529011737,0.000178300310586,3.63157314781e-06,0.00478022530017
722,0.000281235153127,1.23874920322e-05,0.000356326193854,0.000177328498755,3.63239503056e-06,0.00478492697607
723,0.000283555977309,1.24291470478e-05,0.000356438011086,0.00017640079424,3.63164292412e-06,0.00478815253799
724,0.000286065082921,1.24767561584e-05,0.000356468013107,0.000175548572432,3.63180479808e-06,0.0047754286604
725,0.00028895151995,1.25360052785e-05,0.00035649099844,0.000174753012656,3.63170060381e-06,0.00477587673368
726,0.000291646650947,1.26004309954e-05,0.000356395547054,0.000174028464538,3.63127754693e-06,0.00477468020652
727,0.00029438122727,1.26846709928e-05,0.000356631342047,0.000173348091,3.63152194845e-06,0.00476862881083
728,0.000297108562131,1.27717122839e-05,0.000357024245882,0.000172702686936,3.6314264444e-06,0.00475224681991
729,0.000300141013407,1.28656137686e-05,0.000357639142774,0.000172127758122,3.63438780413e-06,0.00472450057185
730,0.000303306482545,1.29612451863e-05,0.000358167717695,0.000171605378844,3.6372197912e-06,0.00470491989546
731,0.000306873439297,1.30601213315e-05,0.000358701941172,0.000171125178665,3.64083668459e-06,0.00469539629832
732,0.000310305747909,1.31592860625e-05,0.000359194346621,0.000170683285168,3.64483818287e-06,0.00469207393034
733,0.000313849834342,1.32638960587e-05,0.000359868741697,0.000170275515334,3.64702577391e-06,0.004703733881
734,0.000317380420709,1.33669028226e-05,0.000360621146072,0.000169904383024,3.65007632891e-06,0.0047087749291
735,0.000321319909187,1.34767506692e-05,0.000361601197215,0.000169593869124,3.65498370493e-06,0.004702191527
736,0.000325498171189,1.35817429793e-05,0.000362592090849,0.000169356269845,3.66055280277e-06,0.00469331141044
737,0.000329777020188,1.36837933455e-05,0.00036391404509,0.000169183301061,3.66871287079e-06,0.00468230354904
738,0.000333757162579,1.37707967168e-05,0.00036490670436,0.00016904245345,3.6756426436e-06,0.0046748183389
739,0.000337760565036,1.3860806258e-05,0.000365989555707,0.000168951149207,3.68317115983e-06,0.00468510111241
740,0.000341569503994,1.39392902325e-05,0.000367010694484,0.000168902660195,3.69033563378e-06,0.00469503764275
741,0.00034522405259,1.40202802422e-05,0.000368126247835,0.000168889271565,3.69794674612e-06,0.00471581071062
742,0.000348740230115,1.40936926899e-05,0.000369216231763,0.000168895597502,3.7060224073e-06,0.00473815874356
743,0.000352195850231,1.41662984439e-05,0.000370184864486,0.000168918070118,3.71615567637e-06,0.00475127007829
744,0.000355525714901,1.42239518003e-05,0.000371224910139,0.000168954961244,3.72970466161e-06,0.00475764880889
745,0.000358850817082,1.42837409426e-05,0.000372350167424,0.000168963539191,3.74322813979e-06,0.00476078610061
746,0.000361978497886,1.43266323103e-05,0.000373361180345,0.000168983090711,3.75689876862e-06,0.00476943244555
747,0.000365100562826,1.43772740354e-05,0.000374557095696,0.000169003817506,3.77197325996e-06,0.00478707480124
748,0.00036792918499,1.44184940571e-05,0.00037556637587,0.000169015053744,3.7868556758e-06,0.00480974157452
