Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                  39",-4.632879737218e+01,-3.219166171978e+00,-2.150861061759e-01,-4.644950660933e+01,-3.240599085667e+00,-2.148162485292e-01,-1.207092371479e-01,-2.143291368880e-02,2.698576466799e-04
"                  40",-4.627700589857e+01,-3.248168368281e+00,1.435194179615e-01,-4.641547867161e+01,-3.268174178448e+00,1.431873740882e-01,-1.384727730362e-01,-2.000581016665e-02,-3.320438733007e-04
"                  41",-4.626574027267e+01,-3.267130470540e+00,5.678114415130e-01,-4.642130702484e+01,-3.285955027509e+00,5.669116972721e-01,-1.555667521677e-01,-1.882455696969e-02,-8.997442409355e-04
"                  42",-4.617067256638e+01,-3.205992639332e+00,8.659847633998e-01,-4.634272581439e+01,-3.223811114789e+00,8.645868422645e-01,-1.720532480086e-01,-1.781847545730e-02,-1.397921135258e-03
"                  43",-4.594449824609e+01,-3.057576387416e+00,9.752161805552e-01,-4.613210168707e+01,-3.074428370151e+00,9.733561013602e-01,-1.876034409758e-01,-1.685198273542e-02,-1.860079194954e-03
"                  44",-4.549518346956e+01,-2.853092577459e+00,9.525169085794e-01,-4.569750288944e+01,-2.868827079913e+00,9.502944210269e-01,-2.023194198787e-01,-1.573450245338e-02,-2.222487552502e-03
"                  45",-4.501052007211e+01,-2.673488947075e+00,9.354283394617e-01,-4.522653856156e+01,-2.688058683372e+00,9.328991082091e-01,-2.160184894497e-01,-1.456973629677e-02,-2.529231252601e-03
"                  46",-4.422460343263e+01,-2.494072185236e+00,9.076744804012e-01,-4.445331178598e+01,-2.507457886709e+00,9.048929983623e-01,-2.287083533527e-01,-1.338570147282e-02,-2.781482038831e-03
"                  47",-4.323197047858e+01,-2.272355647469e+00,8.852415349140e-01,-4.347215805779e+01,-2.284528055320e+00,8.822332571432e-01,-2.401875792156e-01,-1.217240785055e-02,-3.008277770743e-03
"                  48",-4.257672192547e+01,-1.991194917965e+00,8.654758232709e-01,-4.282742637026e+01,-2.002141840149e+00,8.623044980657e-01,-2.507044447962e-01,-1.094692218419e-02,-3.171325205205e-03
"                  49",-4.229147193085e+01,-1.598646395919e+00,6.896539668124e-01,-4.255181221580e+01,-1.608428069739e+00,6.862680269622e-01,-2.603402849445e-01,-9.781673819513e-03,-3.385939850150e-03
"                  50",-4.219642421994e+01,-1.143528545985e+00,3.976343715700e-01,-4.246587535638e+01,-1.152118743931e+00,3.938940496205e-01,-2.694511364393e-01,-8.590197946105e-03,-3.740321949431e-03
"                  51",-4.195277377531e+01,-7.341336960312e-01,1.086741959962e-01,-4.223100311798e+01,-7.415331271300e-01,1.043291186455e-01,-2.782293426670e-01,-7.399431098837e-03,-4.345077350754e-03
"                  52",-4.144254178171e+01,-4.369037819854e-01,-8.529439224421e-02,-4.172908871617e+01,-4.431008090814e-01,-9.038061841821e-02,-2.865469344571e-01,-6.197027095983e-03,-5.086226174002e-03
"                  53",-4.055502480266e+01,-2.616805963660e-01,-1.491834732123e-01,-4.084942094526e+01,-2.667060702094e-01,-1.549582654150e-01,-2.943961425952e-01,-5.025473843366e-03,-5.774792202743e-03
"                  54",-3.940745450229e+01,-1.516530760058e-01,-1.734342359586e-01,-3.970925181772e+01,-1.555703642949e-01,-1.797497006011e-01,-3.017973154305e-01,-3.917288289133e-03,-6.315464642479e-03
"                  55",-3.822992779206e+01,-9.873985006713e-02,-1.717301998464e-01,-3.853873443052e+01,-1.016353398318e-01,-1.785290372702e-01,-3.088066384537e-01,-2.895489764695e-03,-6.798837423809e-03
"                  56",-3.723013999640e+01,-9.791960822621e-02,-1.697534611594e-01,-3.754565921210e+01,-1.000115420907e-01,-1.769163146433e-01,-3.155192156991e-01,-2.091933864456e-03,-7.162853483872e-03
"                  57",-3.634056220393e+01,-1.181556509368e-01,-2.335353758961e-01,-3.666240937542e+01,-1.197025736428e-01,-2.410068378284e-01,-3.218471714910e-01,-1.546922706018e-03,-7.471461932287e-03
"                  58",-3.549747616900e+01,-1.471812948083e-01,-3.677062464794e-01,-3.582535531074e+01,-1.484699057986e-01,-3.753478460006e-01,-3.278791417378e-01,-1.288610990390e-03,-7.641599521246e-03
"                  59",-3.447253990719e+01,-1.553552735300e-01,-6.127156616889e-01,-3.480593471848e+01,-1.565244701654e-01,-6.205862651788e-01,-3.333948112865e-01,-1.169196635420e-03,-7.870603489811e-03
"                  60",-3.335882607374e+01,-1.101608304481e-01,-1.000618083122e+00,-3.369719706159e+01,-1.112057510959e-01,-1.008766592573e+00,-3.383709878493e-01,-1.044920647870e-03,-8.148509451119e-03
"                  61",-3.242180965669e+01,-1.888740926767e-02,-1.506374982236e+00,-3.276458829263e+01,-1.973327361674e-02,-1.514924771496e+00,-3.427786359336e-01,-8.458643490689e-04,-8.549789259479e-03
"                  62",-3.177042948916e+01,8.551366992359e-02,-2.066883178911e+00,-3.211717402374e+01,8.486524384701e-02,-2.075963096078e+00,-3.467445345821e-01,-6.484260765852e-04,-9.079917167231e-03
"                  63",-3.132613979344e+01,1.933550308669e-01,-2.669129087065e+00,-3.167649845893e+01,1.928891617993e-01,-2.678851796936e+00,-3.503586654917e-01,-4.658690676020e-04,-9.722709871798e-03
"                  64",-3.109058575947e+01,2.958004502573e-01,-3.278810743185e+00,-3.144419871395e+01,2.955720645090e-01,-3.289299660506e+00,-3.536129544780e-01,-2.283857483517e-04,-1.048891732073e-02
