Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 850",-1.240617461227e+01,2.678283934624e+02,1.771694629054e+02,-1.242779435811e+01,2.874779360918e+02,1.772891109694e+02,-2.161974583783e-02,1.964954262934e+01,1.196480640170e-01
"                 851",-1.240569516475e+01,2.678298657678e+02,1.771679932301e+02,-1.242738677047e+01,2.874808710234e+02,1.772874715929e+02,-2.169160571876e-02,1.965100525559e+01,1.194783628277e-01
"                 852",-1.240751789651e+01,2.678334530879e+02,1.771720296412e+02,-1.242927075627e+01,2.874859491361e+02,1.772912862425e+02,-2.175285975962e-02,1.965249604822e+01,1.192566012983e-01
"                 853",-1.240087349533e+01,2.678362817371e+02,1.771722990860e+02,-1.242264940337e+01,2.874902369561e+02,1.772913660775e+02,-2.177590804742e-02,1.965395521899e+01,1.190669915127e-01
"                 854",-1.239827524773e+01,2.678405597803e+02,1.771769359994e+02,-1.242007576813e+01,2.874959907088e+02,1.772957494034e+02,-2.180052039651e-02,1.965543092852e+01,1.188134039127e-01
"                 855",-1.238930709286e+01,2.678432290994e+02,1.771767261022e+02,-1.241112742211e+01,2.875000885276e+02,1.772953106178e+02,-2.182032925342e-02,1.965685942820e+01,1.185845156436e-01
"                 856",-1.238605974690e+01,2.678467080865e+02,1.771804526366e+02,-1.240791428984e+01,2.875050137305e+02,1.772987476148e+02,-2.185454294100e-02,1.965830564401e+01,1.182949782440e-01
"                 857",-1.237804915467e+01,2.678484142556e+02,1.771790493319e+02,-1.239991466533e+01,2.875081465972e+02,1.772970939306e+02,-2.186551065976e-02,1.965973234160e+01,1.180445986705e-01
"                 858",-1.237717382970e+01,2.678508710139e+02,1.771815906150e+02,-1.239906369621e+01,2.875120714661e+02,1.772993501475e+02,-2.188986650673e-02,1.966120045224e+01,1.177595324714e-01
"                 859",-1.236949571414e+01,2.678516462982e+02,1.771793871235e+02,-1.239140265867e+01,2.875143005756e+02,1.772969206742e+02,-2.190694453383e-02,1.966265427744e+01,1.175335507166e-01
"                 860",-1.236609753586e+01,2.678531140479e+02,1.771810741589e+02,-1.238805673274e+01,2.875172495350e+02,1.772983505033e+02,-2.195919687594e-02,1.966413548706e+01,1.172763444014e-01
"                 861",-1.235833405122e+01,2.678521267861e+02,1.771774216601e+02,-1.238035886252e+01,2.875177018441e+02,1.772944951176e+02,-2.202481129845e-02,1.966557505799e+01,1.170734575231e-01
"                 862",-1.235956917453e+01,2.678513108505e+02,1.771775315959e+02,-1.238168883096e+01,2.875183327714e+02,1.772943683631e+02,-2.211965643308e-02,1.966702192086e+01,1.168367672256e-01
"                 863",-1.235776027998e+01,2.678491075060e+02,1.771730652413e+02,-1.237995121068e+01,2.875175352933e+02,1.772897180100e+02,-2.219093069931e-02,1.966842778731e+01,1.166527687074e-01
"                 864",-1.236440538642e+01,2.678489462072e+02,1.771740909200e+02,-1.238667111171e+01,2.875187940676e+02,1.772905186154e+02,-2.226572529804e-02,1.966984786034e+01,1.164276954896e-01
"                 865",-1.236740062593e+01,2.678489225782e+02,1.771719275631e+02,-1.238973416458e+01,2.875201486444e+02,1.772881774792e+02,-2.233353865116e-02,1.967122606624e+01,1.162499161052e-01
"                 866",-1.237640272706e+01,2.678510788615e+02,1.771751175338e+02,-1.239881645617e+01,2.875237164570e+02,1.772911474991e+02,-2.241372910415e-02,1.967263759556e+01,1.160299653104e-01
"                 867",-1.237636221920e+01,2.678525387411e+02,1.771741154931e+02,-1.239882109587e+01,2.875265698419e+02,1.772899722831e+02,-2.245887666962e-02,1.967403110079e+01,1.158567900467e-01
"                 868",-1.237796735731e+01,2.678553882010e+02,1.771777377517e+02,-1.240045350879e+01,2.875308412549e+02,1.772933699734e+02,-2.248615148487e-02,1.967545305386e+01,1.156322216601e-01
"                 869",-1.237000379625e+01,2.678571259676e+02,1.771768696541e+02,-1.239247460473e+01,2.875339676091e+02,1.772923122325e+02,-2.247080847628e-02,1.967684164152e+01,1.154425783980e-01
"                 870",-1.236689161402e+01,2.678603103134e+02,1.771808446905e+02,-1.238933752410e+01,2.875385622388e+02,1.772960356528e+02,-2.244591008562e-02,1.967825192537e+01,1.151909622456e-01
"                 871",-1.235715817455e+01,2.678627862936e+02,1.771804783173e+02,-1.237956851132e+01,2.875424134988e+02,1.772954467659e+02,-2.241033676989e-02,1.967962720517e+01,1.149684485787e-01
"                 872",-1.235268918282e+01,2.678667495398e+02,1.771844496051e+02,-1.237509002211e+01,2.875477854542e+02,1.772991491632e+02,-2.240083928459e-02,1.968103591441e+01,1.146995581517e-01
"                 873",-1.234237847314e+01,2.678691938277e+02,1.771833465835e+02,-1.236475746443e+01,2.875516295199e+02,1.772978338298e+02,-2.237899128386e-02,1.968243569226e+01,1.144872462114e-01
"                 874",-1.233858142324e+01,2.678722571701e+02,1.771860677460e+02,-1.236094717705e+01,2.875561272982e+02,1.773003134042e+02,-2.236575380468e-02,1.968387012809e+01,1.142456581784e-01
"                 875",-1.232967144014e+01,2.678737958566e+02,1.771838594954e+02,-1.235201754578e+01,2.875590622916e+02,1.772979264475e+02,-2.234610564489e-02,1.968526643502e+01,1.140669521746e-01
"                 876",-1.232931595869e+01,2.678757984957e+02,1.771860379692e+02,-1.235168323325e+01,2.875624651305e+02,1.772998934966e+02,-2.236727456608e-02,1.968666663477e+01,1.138555273994e-01
"                 877",-1.232640170498e+01,2.678755948841e+02,1.771832380223e+02,-1.234880040506e+01,2.875636074005e+02,1.772969323917e+02,-2.239870007637e-02,1.968801251640e+01,1.136943693421e-01
"                 878",-1.233075856135e+01,2.678761349737e+02,1.771844898113e+02,-1.235321515741e+01,2.875654944735e+02,1.772979825589e+02,-2.245659605660e-02,1.968935949982e+01,1.134927475777e-01
"                 879",-1.232912268624e+01,2.678759118814e+02,1.771813985140e+02,-1.235161961575e+01,2.875665725107e+02,1.772947462573e+02,-2.249692951040e-02,1.969066062926e+01,1.133477433153e-01
"                 880",-1.233184308082e+01,2.678778844385e+02,1.771835359244e+02,-1.235437425666e+01,2.875698620279e+02,1.772967018227e+02,-2.253117584398e-02,1.969197758932e+01,1.131658983478e-01
"                 881",-1.232982728198e+01,2.678793793755e+02,1.771817216200e+02,-1.235237605820e+01,2.875726281886e+02,1.772947495499e+02,-2.254877622687e-02,1.969324881309e+01,1.130279298988e-01
"                 882",-1.233655662580e+01,2.678817806908e+02,1.771847009797e+02,-1.235914532077e+01,2.875763208731e+02,1.772975361967e+02,-2.258869497788e-02,1.969454018239e+01,1.128352169946e-01
"                 883",-1.233778046394e+01,2.678825533390e+02,1.771833362681e+02,-1.236037985161e+01,2.875783594034e+02,1.772960164121e+02,-2.259938767378e-02,1.969580606446e+01,1.126801439593e-01
"                 884",-1.234092053948e+01,2.678844380585e+02,1.771866363658e+02,-1.236351238433e+01,2.875815489311e+02,1.772991016852e+02,-2.259184485781e-02,1.969711087263e+01,1.124653194299e-01
"                 885",-1.233415266665e+01,2.678857759203e+02,1.771858048615e+02,-1.235670112297e+01,2.875841769508e+02,1.772980911753e+02,-2.254845631777e-02,1.969840103052e+01,1.122863137649e-01
"                 886",-1.232914141543e+01,2.678890275003e+02,1.771898774509e+02,-1.235164874731e+01,2.875887650632e+02,1.773019362617e+02,-2.250733187543e-02,1.969973756285e+01,1.120588107616e-01
"                 887",-1.231546144588e+01,2.678918120208e+02,1.771897818604e+02,-1.233792133894e+01,2.875928741043e+02,1.773016612007e+02,-2.245989306551e-02,1.970106208353e+01,1.118793402315e-01
"                 888",-1.230557508131e+01,2.678957074769e+02,1.771943379667e+02,-1.232802471349e+01,2.875981329663e+02,1.773059942651e+02,-2.244963218926e-02,1.970242548942e+01,1.116562983815e-01
"                 889",-1.229023194866e+01,2.678981289824e+02,1.771941644609e+02,-1.231267332807e+01,2.876018903688e+02,1.773056545398e+02,-2.244137940901e-02,1.970376138646e+01,1.114900789624e-01
"                 890",-1.228276163317e+01,2.679008373559e+02,1.771979083877e+02,-1.230520228305e+01,2.876059554714e+02,1.773092002326e+02,-2.244064988193e-02,1.970511811552e+01,1.112918449559e-01
"                 891",-1.227189881828e+01,2.679021800440e+02,1.771970725017e+02,-1.229430841839e+01,2.876086134804e+02,1.773082292662e+02,-2.240960011338e-02,1.970643343635e+01,1.111567644547e-01
"                 892",-1.226867881732e+01,2.679043818984e+02,1.772007800557e+02,-1.229108077494e+01,2.876121304693e+02,1.773117729021e+02,-2.240195761325e-02,1.970774857099e+01,1.109928463809e-01
"                 893",-1.226264860533e+01,2.679052045899e+02,1.771997419595e+02,-1.228505272320e+01,2.876142103140e+02,1.773106340605e+02,-2.240411787696e-02,1.970900572419e+01,1.108921009973e-01
"                 894",-1.226667060567e+01,2.679063114066e+02,1.772029385100e+02,-1.228911028612e+01,2.876165721666e+02,1.773136923876e+02,-2.243968044873e-02,1.971026075997e+01,1.107538775784e-01
"                 895",-1.226690468773e+01,2.679061769833e+02,1.772014640985e+02,-1.228936515442e+01,2.876176367300e+02,1.773121296252e+02,-2.246046669551e-02,1.971145974664e+01,1.106655266876e-01
"                 896",-1.227205429257e+01,2.679073825987e+02,1.772046719529e+02,-1.229452520988e+01,2.876200502637e+02,1.773152026621e+02,-2.247091731220e-02,1.971266766496e+01,1.105307092581e-01
"                 897",-1.227020791623e+01,2.679081108864e+02,1.772033115962e+02,-1.229264768822e+01,2.876219449613e+02,1.773137502822e+02,-2.243977199026e-02,1.971383407495e+01,1.104386860655e-01
"                 898",-1.227424257598e+01,2.679098006343e+02,1.772063223048e+02,-1.229665904891e+01,2.876248212988e+02,1.773166078915e+02,-2.241647293101e-02,1.971502066449e+01,1.102855866925e-01
"                 899",-1.227195923823e+01,2.679101658244e+02,1.772045505089e+02,-1.229434451785e+01,2.876263586126e+02,1.773147246864e+02,-2.238527962641e-02,1.971619278827e+01,1.101741774837e-01
"                 900",-1.227394706674e+01,2.679115560852e+02,1.772079134359e+02,-1.229630346821e+01,2.876289828263e+02,1.773179290930e+02,-2.235640147219e-02,1.971742674109e+01,1.100156570093e-01
"                 901",-1.226825701896e+01,2.679127999322e+02,1.772076428138e+02,-1.229056676511e+01,2.876314709746e+02,1.773175453210e+02,-2.230974614763e-02,1.971867104238e+01,1.099025072042e-01
"                 902",-1.226562357398e+01,2.679157412509e+02,1.772127989046e+02,-1.228789350250e+01,2.876357111446e+02,1.773225373718e+02,-2.226992851443e-02,1.971996989363e+01,1.097384671769e-01
"                 903",-1.225407734576e+01,2.679181325080e+02,1.772136907443e+02,-1.227629871501e+01,2.876393782218e+02,1.773233148452e+02,-2.222136925852e-02,1.972124571376e+01,1.096241009026e-01
"                 904",-1.224561525873e+01,2.679217598922e+02,1.772191704559e+02,-1.226781651797e+01,2.876443069194e+02,1.773286285063e+02,-2.220125923689e-02,1.972254702728e+01,1.094580503638e-01
"                 905",-1.223192187750e+01,2.679249539315e+02,1.772198967308e+02,-1.225410106212e+01,2.876487650651e+02,1.773292366583e+02,-2.217918462361e-02,1.972381113362e+01,1.093399275083e-01
